0.01	3.19
0.04	2.99
0.09	3.03
0.14	3.16
0.24	3.29
0.34	3.79
0.44	4
0.54	4.35
0.59	4.5
0.64	4.66
0.74	4.75
0.79	4.77
0.84	4.62
0.89	4.56
0.94	4.62
0.99	4.51
1.04	4.6
1.09	4.57
1.14	4.45
1.19	4.4
1.24	4.39
1.29	4.43
1.39	4.32
1.49	4.27
1.59	4.36
1.69	4.23
1.79	4.16
1.89	4.33
1.99	4.21
2.09	4.12
2.2	4.08
2.29	4.16
2.39	4.1
2.49	4.27
2.59	4.31
2.69	4.29
2.79	4.13
2.89	3.73
2.99	3.55
3.09	3.53
3.19	3.96
3.29	3.63
3.39	3.84
3.49	3.71
3.59	3.75
3.69	3.63
3.79	3.22
3.89	2.97
3.99	3.11
4.09	3.72
4.19	3.74
4.29	4.5
4.39	4.56
4.49	4.47
4.59	4.29
4.69	4.37
4.79	4.41
4.89	4.3
4.99	4.27
5.09	4.28
5.19	4.12
5.29	3.97
5.39	3.97
5.49	4.14
5.59	3.83
5.69	3.65
5.79	3.44
5.89	3.09
5.99	3.33
6.09	3.39
6.19	3.63
6.29	3.54
6.39	3.76
6.49	4.17
6.59	3.99
6.69	4.09
6.79	3.93
6.89	3.54
6.99	3.54
7.09	4.21
7.19	4.27
7.29	4.3
7.39	4.45
7.49	4.45
7.59	4.32
7.69	4.27
7.79	4.42
7.89	4.3
7.99	4.11
8.09	3.57
8.19	3.74
8.29	3.65
8.39	3.84
8.49	3.97
8.59	4.16
8.69	3.95
8.79	3.75
8.89	3.55
8.99	3.4
9.09	3.48
9.19	3.43
9.29	3.05
9.39	2.9
9.49	3.09
9.59	3.56
9.69	3.56
9.79	4.04
9.89	4.19
9.99	4.59
10.09	4.61
10.19	4.35
10.29	4.41
